timestamp,nanoseconds,roll,pitch
1731002542943462269,929800064,-1.4283167984063362e-16,-1.2075919484924137e-16
1731002543041949443,29798272,-1.4402466604468792e-16,-1.205519175488089e-16
1731002543138151658,129803648,-1.443181310446779e-16,-1.2049906431308828e-16
1731002543243413262,229804928,-1.4408402767307303e-16,-1.2054128599414657e-16
1731002543343445009,329804416,-1.439612507461027e-16,-1.2056324178252084e-16
1731002543442194111,429803648,-1.4553461928576992e-16,-1.202720903785885e-16
1731002543538074380,529808768,-1.45487537873379e-16,-1.2028111172596759e-16
1731002543643339661,629808000,-1.4459790795323873e-16,-1.20447988954628e-16
1731002543742007171,729815680,-1.4480683125331825e-16,-1.2040941034729153e-16
1731002543838214786,829821312,-1.449648931488124e-16,-1.203799743771348e-16
1731002543939524551,929820544,-1.448970202810881e-16,-1.2039264068998019e-16
1731002544041945567,29819520,-1.4498832121347588e-16,-1.2037559307959504e-16
1731002544137989898,129818240,-1.448638052218772e-16,-1.2039882479531742e-16
1731002544239549330,229817728,-1.4496212051561106e-16,-1.203804925767819e-16
1731002544337925064,329823872,-1.44918209050315e-16,-1.203886907312155e-16
1731002544438106973,429829504,-1.443954814588783e-16,-1.204850105625177e-16
1731002544543487497,529828992,-1.4464569042297694e-16,-1.2043919876623161e-16
1731002544641948083,629828224,-1.475950346425442e-16,-1.1985851283022443e-16
1731002544738145286,729828992,-1.5173442647761898e-16,-1.1891543113811233e-16
1731002544839336860,829828224,-1.569283759120918e-16,-1.1751532446800445e-16
1731002544938299142,929834368,-1.5558808725506017e-16,-1.179001175265974e-16
1731002545038057857,29840000,-1.4582684349363093e-16,-1.2021566927622833e-16
1731002545143373878,129846144,-1.3205642550245026e-16,-1.2208847711065583e-16
1731002545242074221,229844608,-1.1858510200653135e-16,-1.2240321360925436e-16
1731002545338145464,329850240,-1.0976778673202602e-16,-1.2180470733976356e-16
1731002545439022959,429848960,-1.157085476121345e-16,-1.222781767239287e-16
1731002545538769307,529847168,-1.1198694496370003e-16,-1.2201563382171333e-16
1731002545638177643,629852800,-1.031888419614806e-16,-1.2093816559638418e-16
1731002545743543405,729852032,-9.655206788611165e-17,-1.196918308176151e-16
1731002545841997399,829851008,-9.081475808449554e-17,-1.183041853645013e-16
1731002545938641423,929856384,-8.870101112165012e-17,-1.1771836091387538e-16
1731002546043619104,29856128,-8.940862373365772e-17,-1.1791901872205357e-16
1731002546141893545,129854848,-8.961653418722226e-17,-1.1797710434182828e-16
1731002546238119566,229853568,-8.90531783084561e-17,-1.1781879895429326e-16
1731002546343317243,329852800,-8.954232655694634e-17,-1.1795641769739977e-16
1731002546441872240,429853568,-8.932960705680557e-17,-1.1789683953914229e-16
1731002546538440117,529857664,-8.924081135721206e-17,-1.1787184729480995e-16
1731002546643365848,629859456,-8.940983826190412e-17,-1.1791935918213277e-16
1731002546737650474,729857920,-8.930726651175417e-17,-1.17890558413481e-16
1731002546838037863,829865856,-8.940112000425449e-17,-1.179169149556781e-16
1731002546943286131,929876096,-8.930139769505192e-17,-1.1788890761660407e-16
1731002547041961691,29875584,-8.929378624636562e-17,-1.1788676617780426e-16
1731002547138273788,129881216,-8.925452309579089e-17,-1.1787571128387602e-16
1731002547243403049,229880704,-8.924196362700363e-17,-1.178721720724763e-16
1731002547338977509,329879424,-8.919164503605289e-17,-1.1785797799292405e-16
1731002547438187405,429885312,-8.918386148967614e-17,-1.1785578030617257e-16
1731002547543183024,529885056,-8.914897205859693e-17,-1.1784592244393955e-16
1731002547642045409,629883520,-8.913864100633845e-17,-1.178430013080734e-16
1731002547738182992,729884800,-8.911094465626334e-17,-1.178351652560743e-16
1731002547843539842,829883776,-8.909927164960432e-17,-1.178318605383099e-16
1731002547938267147,929890688,-8.908285418477969e-17,-1.178272105141824e-16
1731002548038381229,29895296,-8.906642316074886e-17,-1.1782255417539282e-16
1731002548143470945,129894528,-8.905525991862328e-17,-1.1781938924532739e-16
1731002548242064734,229892480,-8.904595640231339e-17,-1.178167506996305e-16
1731002548338226699,329898624,-8.903339200910292e-17,-1.178131860853839e-16
1731002548443418917,429898368,-8.902502151790822e-17,-1.1781081050957117e-16
1731002548542205898,529896576,-8.901725229019231e-17,-1.1780860499946315e-16
1731002548638315925,629901184,-8.901799382302598e-17,-1.1780881552796136e-16
1731002548739394626,729900672,-8.901248863402609e-17,-1.1780725243013445e-16
1731002548838531213,829900672,-8.900774470301083e-17,-1.1780590525460536e-16
1731002548938538456,929906304,-8.90025710611727e-17,-1.1780443581500188e-16
1731002549043708264,29906048,-8.900077905166989e-17,-1.1780392678364122e-16
1731002549138367657,129904512,-8.899591449352922e-17,-1.1780254482734598e-16
1731002549238431043,229902976,-8.900073971089716e-17,-1.1780391560832143e-16
1731002549343647924,329913984,-8.900102057565324e-17,-1.1780399539173721e-16
1731002549439146266,429913728,-8.899743956408632e-17,-1.17802978102977e-16
1731002549538182053,529919616,-8.899947308208586e-17,-1.17803555796362e-16
1731002549638640084,629918848,-8.899973701540384e-17,-1.1780363077326207e-16
1731002549741988796,729919872,-8.899815018600833e-17,-1.1780317998481537e-16
1731002549838039351,829928064,-8.900026512870992e-17,-1.178037807952165e-16
1731002549939817457,929928576,-8.900112739307896e-17,-1.178040257344753e-16
